Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2021-04-15 17:44:26","60408672","36","0","0","0","491","1239","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:27","60408672","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","113","2","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:28","60408672","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:29","60408168","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:30","60408168","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:31","60408188","36","0","0","0","491","1241","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:32","60407936","36","0","0","0","491","1241","1","0","1","0","100","0","0","0","4415984","487804","450448","37356","0","0","0","0","9","108","2","33","131072","11049","229696","207555","17024","15252","382720","17600","0","14","1","0","32824","102","36","21446","0","2000",
"2021-04-15 17:44:33","60407456","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","487804","450448","37356","0","0","0","0","9","108","1","33","131072","11049","229696","207555","17024","15252","382720","17600","0","14","1","0","32824","102","36","21446","0","0",
"2021-04-15 17:44:34","60407456","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","487804","450448","37356","0","0","0","0","9","108","1","33","131072","11049","229696","207555","17024","15252","382720","17600","0","14","1","0","32824","102","36","21446","0","0",
"2021-04-15 17:44:35","60413264","36","0","0","0","491","1240","1","0","1","0","100","0","0","0","4415984","480508","443152","37356","0","0","0","0","9","108","2","33","131072","10692","222080","186369","17024","13725","382720","17600","0","14","1","0","32824","97","36","19446","0","2000",
"2021-04-15 17:44:36","60413256","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","480508","443152","37356","0","0","0","0","9","108","1","33","131072","10692","222080","186369","17024","13725","382720","17600","0","14","1","0","32824","97","36","19446","0","0",
"2021-04-15 17:44:37","60413256","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","480508","443152","37356","0","0","0","0","9","112","2","33","131072","10692","222080","186369","17024","13725","382720","17600","0","14","1","0","32824","97","36","19446","0","0",
"2021-04-15 17:44:38","60436440","36","0","0","0","491","1240","1","0","1","0","100","0","0","0","4415984","456236","418880","37356","0","0","0","0","9","108","2","33","131072","10336","197760","165178","17024","12199","382720","17600","0","14","1","0","32824","92","36","17446","0","2000",
"2021-04-15 17:44:39","60436440","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","456236","418880","37356","0","0","0","0","9","108","1","33","131072","10336","197760","165178","17024","12199","382720","17600","0","14","1","0","32824","92","36","17446","0","0",
"2021-04-15 17:44:40","60436440","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","456236","418880","37356","0","0","0","0","9","108","1","33","131072","10336","197760","165178","17024","12199","382720","17600","0","14","1","0","32824","92","36","17446","0","0",
"2021-04-15 17:44:41","60450512","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","441128","403772","37356","0","0","0","0","9","108","2","33","131072","9979","182592","143992","17024","10672","382720","17600","0","14","1","0","32824","87","36","15446","0","2000",
"2021-04-15 17:44:42","60450512","36","0","0","0","491","1240","2","0","0","0","100","0","0","0","4415984","441128","403772","37356","0","0","0","0","9","108","2","33","131072","9979","182592","143992","17024","10672","382720","17600","0","14","1","0","32824","87","36","15446","0","0",
"2021-04-15 17:44:43","60450512","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","441128","403772","37356","0","0","0","0","9","108","2","33","131072","9979","182592","143992","17024","10672","382720","17600","0","14","1","0","32824","87","36","15446","0","0",
"2021-04-15 17:44:44","60476216","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","414080","376724","37356","0","0","0","0","9","108","2","33","131072","9623","155520","122801","14144","9145","382720","17600","0","14","1","0","32824","82","36","13446","0","2000",
"2021-04-15 17:44:45","60475964","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","414080","376724","37356","0","0","0","0","9","108","2","33","131072","9623","155520","122801","14144","9145","382720","17600","0","14","1","0","32824","82","36","13446","0","0",
"2021-04-15 17:44:46","60475964","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","414080","376724","37356","0","0","0","0","9","108","2","33","131072","9623","155520","122801","14144","9145","382720","17600","0","14","1","0","32824","82","36","13446","0","0",
"2021-04-15 17:44:47","60489700","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","398832","361476","37356","0","0","0","0","9","112","3","33","131072","9266","140224","101615","14144","7618","382720","17600","0","14","1","0","32824","77","36","11446","0","2000",
"2021-04-15 17:44:48","60489700","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","398832","361476","37356","0","0","0","0","9","108","2","33","131072","9266","140224","101615","14144","7618","382720","17600","0","14","1","0","32824","77","36","11446","0","0",
"2021-04-15 17:44:49","60489824","36","0","0","0","491","1240","1","0","0","0","100","0","0","0","4415984","398832","361476","37356","0","0","0","0","9","108","2","33","131072","9266","140224","101615","14144","7618","382720","17600","0","14","1","0","32824","77","36","11446","0","0",
"2021-04-15 17:44:50","60517616","35","0","0","0","491","1242","1","0","0","0","100","0","0","0","4415984","372120","334764","37356","0","0","0","0","9","108","2","33","131072","8910","113216","80424","11264","6091","382720","17600","0","14","1","0","32824","72","36","9446","0","2000",
"2021-04-15 17:44:51","60517592","35","0","0","0","491","1242","1","0","0","0","100","0","0","0","4415984","372120","334764","37356","0","0","0","0","9","108","2","33","131072","8910","113216","80424","11264","6091","382720","17600","0","14","1","0","32824","72","36","9446","0","0",
"2021-04-15 17:44:52","60517340","35","0","0","0","491","1242","1","0","0","0","100","0","0","0","4415984","372120","334764","37356","0","0","0","0","9","108","2","33","131072","8910","113216","80424","11264","6091","382720","17600","0","14","1","0","32824","72","36","9446","0","0",
"2021-04-15 17:44:53","60532308","35","0","0","0","491","1238","1","0","0","0","100","0","0","0","4415984","356944","319588","37356","0","0","0","0","9","108","2","33","131072","8553","97984","59238","11264","4564","377152","17600","0","14","1","0","32824","67","36","7446","0","2000",
"2021-04-15 17:44:54","60532308","35","0","0","0","491","1238","1","0","0","0","100","0","0","0","4415984","356944","319588","37356","0","0","0","0","9","108","2","33","131072","8553","97984","59238","11264","4564","377152","17600","0","14","1","0","32824","67","36","7446","0","0",
"2021-04-15 17:44:55","60532480","35","0","0","0","491","1238","1","0","0","0","100","0","0","0","4415984","356944","319588","37356","0","0","0","0","9","108","2","33","131072","8553","97984","59238","11264","4564","377152","17600","0","14","1","0","32824","67","36","7446","0","0",
"2021-04-15 17:44:56","60559444","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","2000",
"2021-04-15 17:44:57","60559444","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","112","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:44:58","60559492","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:44:59","60559240","35","0","0","0","491","1235","2","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:00","60558744","35","0","0","0","491","1236","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:01","60558768","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:02","60558768","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:03","60558820","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:04","60558820","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:05","60558820","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:06","60558820","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:07","60558568","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","112","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:08","60558580","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:09","60558580","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:10","60558328","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:11","60558328","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:12","60558328","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:13","60558076","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:14","60558076","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:15","60558076","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:16","60558076","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:17","60557824","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","112","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:18","60557824","35","0","0","0","491","1234","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:19","60557824","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:20","60557824","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:21","60557824","35","0","0","0","491","1235","4","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:22","60557584","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:23","60557584","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:24","60557332","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:25","60557332","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:26","60557088","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:27","60556836","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","112","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:45:28","60556836","35","0","0","0","491","1235","1","0","0","0","100","0","0","0","4415984","329728","292372","37356","0","0","0","0","9","108","2","33","131072","8197","70720","38047","8320","3037","320640","17600","0","14","1","0","32824","62","36","5446","0","0",
