Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
"2021-04-15 17:44:29","60408672","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","10","1","29","131072","11568","242644","231392","18148","16861","404408","17664","0","13","1","0","28724","107","36","23461","0","0",
"2021-04-15 17:44:30","60408168","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","11568","242644","231392","18148","16861","404408","17664","0","13","1","0","28724","107","36","23461","0","0",
"2021-04-15 17:44:31","60408144","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","11568","242644","231392","18148","16861","404408","17664","0","13","1","0","28724","107","36","23461","0","0",
"2021-04-15 17:44:32","60407936","0","0","0","1","0","1","0","99","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","11211","242644","209951","18148","15332","404408","17664","0","13","1","0","28724","102","36","21461","0","2000",
"2021-04-15 17:44:33","60407456","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","11211","242644","209951","18148","15332","404408","17664","0","13","1","0","28724","102","36","21461","0","0",
"2021-04-15 17:44:34","60407456","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","11211","242644","209951","18148","15332","404408","17664","0","13","1","0","28724","102","36","21461","0","0",
"2021-04-15 17:44:35","60413264","0","0","0","1","0","1","0","99","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","10851","242644","188510","18148","13803","404408","17664","0","13","1","0","28724","97","36","19461","0","2000",
"2021-04-15 17:44:36","60413256","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","10854","242644","188510","18148","13803","404408","17664","0","13","1","0","28724","97","36","19461","0","0",
"2021-04-15 17:44:37","60413256","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","17","1","29","131072","10854","242644","188510","18148","13803","404408","17664","0","13","1","0","28724","97","36","19461","0","0",
"2021-04-15 17:44:38","60436440","0","0","0","1","0","1","0","99","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","13","2","29","131072","10494","242644","167069","18148","12275","404408","17664","0","13","1","0","28724","92","36","17461","0","2000",
"2021-04-15 17:44:39","60436440","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","13","2","29","131072","10497","242644","167071","18148","12275","404408","17664","0","13","1","0","28724","92","36","17461","0","0",
