Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
"2021-04-15 17:42:30","59911724","0","0","0","1","0","1","0","99","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","2","29","131072","11248","236228","212490","18176","15328","393716","18048","0","13","1","0","28724","102","36","21461","0","2000",
"2021-04-15 17:42:31","59911728","0","0","0","1","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","10","0","29","131072","11248","236228","212490","18176","15328","393716","18048","0","13","1","0","28724","102","36","21461","0","0",
"2021-04-15 17:42:32","59911780","0","0","0","1","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","1","29","131072","11248","236228","212490","18176","15328","393716","18048","0","13","1","0","28724","102","36","21461","0","0",
"2021-04-15 17:42:33","59931692","0","0","0","1","0","1","0","99","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","2","29","131072","10887","236228","190761","18176","13800","393716","18048","0","13","1","0","28724","97","36","19461","0","2000",
"2021-04-15 17:42:34","59931692","0","0","0","1","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","3","29","131072","10889","236228","190761","18176","13800","393716","18048","0","13","1","0","28724","97","36","19461","0","0",
"2021-04-15 17:42:35","59931692","0","0","0","1","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","17","1","29","131072","10889","236228","190770","18176","13800","393716","18048","0","13","1","0","28724","97","36","19461","0","0",
"2021-04-15 17:42:36","59954676","0","0","0","1","0","1","0","99","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","13","2","29","131072","10528","236228","169042","18176","12271","393716","18048","0","13","1","0","28724","92","36","17461","0","2000",
"2021-04-15 17:42:37","59954676","0","0","0","1","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","2","29","131072","10531","236228","169042","18176","12271","393716","18048","0","13","1","0","28724","92","36","17461","0","0",
"2021-04-15 17:42:38","59954676","0","0","0","1","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","1","29","131072","10531","236228","169042","18176","12271","393716","18048","0","13","1","0","28724","92","36","17461","0","0",
"2021-04-15 17:42:39","59973008","0","0","0","1","0","1","0","99","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","2","29","131072","10170","236228","147313","18176","10743","393716","18048","0","13","1","0","28724","87","36","15461","0","2000",
"2021-04-15 17:42:40","60450120","0","0","0","1","0","0","0","99","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","2","29","131072","10172","236228","147313","18176","10743","393716","18048","0","13","1","0","28724","87","36","15461","0","0",
"2021-04-15 17:42:41","60450120","0","0","0","2","0","0","0","100","0","0","0","4208108","486900","450384","36516","0","0","0","0","9","12","1","29","131072","10172","236228","147313","18176","10743","393716","18048","0","13","1","0","28724","87","36","15461","0","0",
"2021-04-15 17:42:42","60475016","0","0","0","1","0","1","0","99","0","0","0","4204012","482840","446324","36516","0","0","0","0","9","12","2","29","131072","9811","232132","125584","18176","9215","393716","18048","0","13","1","0","28724","82","36","13461","0","2000",
"2021-04-15 17:42:43","60475016","0","0","0","1","0","0","0","100","0","0","0","4204012","482840","446324","36516","0","0","0","0","9","12","2","29","131072","9814","232132","125584","18176","9215","393716","18048","0","13","1","0","28724","82","36","13461","0","0",
"2021-04-15 17:42:44","60475024","0","0","0","1","0","0","0","100","0","0","0","4204012","482840","446324","36516","0","0","0","0","9","12","1","29","131072","9814","232132","125584","18176","9215","393716","18048","0","13","1","0","28724","82","36","13461","0","0",
"2021-04-15 17:42:45","60513424","0","0","0","1","0","0","0","99","0","0","0","4185580","464408","427892","36516","0","0","0","0","9","17","2","29","131072","9455","213700","103855","18176","7687","393716","18048","0","13","1","0","28724","77","36","11461","0","2000",
"2021-04-15 17:42:46","60513424","0","0","0","1","0","0","0","100","0","0","0","4185580","464408","427892","36516","0","0","0","0","9","12","2","29","131072","9455","213700","103855","18176","7687","393716","18048","0","13","1","0","28724","77","36","11461","0","0",
"2021-04-15 17:42:47","60513860","0","0","0","1","0","0","0","100","0","0","0","4185580","464408","427892","36516","0","0","0","0","9","12","1","29","131072","9455","213700","103855","18176","7687","393716","18048","0","13","1","0","28724","77","36","11461","0","0",
"2021-04-15 17:42:48","60554072","0","0","0","1","0","0","0","100","0","0","0","4167148","445976","409460","36516","0","0","0","0","9","12","2","29","131072","9094","195268","82126","18176","6159","393716","18048","0","13","1","0","28724","72","36","9461","0","2000",
"2021-04-15 17:42:49","60554072","0","0","0","1","0","0","0","100","0","0","0","4167148","445976","409460","36516","0","0","0","0","9","12","2","29","131072","9097","195268","82126","18176","6159","393716","18048","0","13","1","0","28724","72","36","9461","0","0",
"2021-04-15 17:42:50","60554488","0","0","0","1","0","0","0","100","0","0","0","4167148","445976","409460","36516","0","0","0","0","9","12","1","29","131072","9097","195268","82126","18176","6159","393716","18048","0","13","1","0","28724","72","36","9461","0","0",
"2021-04-15 17:42:51","60594484","0","0","0","1","0","0","0","99","0","0","0","4146668","425496","388980","36516","0","0","0","0","9","12","2","29","131072","8736","174788","60398","18176","4630","393716","18048","0","13","1","0","28724","67","36","7461","0","2000",
"2021-04-15 17:42:52","60595312","0","0","0","1","0","0","0","100","0","0","0","4146668","425496","388980","36516","0","0","0","0","9","12","2","29","131072","8738","174788","60398","18176","4630","393716","18048","0","13","1","0","28724","67","36","7461","0","0",
"2021-04-15 17:42:53","60595060","0","0","0","2","0","0","0","100","0","0","0","4146668","425496","388980","36516","0","0","0","0","9","12","1","29","131072","8738","174788","60398","18176","4630","393716","18048","0","13","1","0","28724","67","36","7461","0","0",
"2021-04-15 17:42:54","60634152","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8377","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","2000",
"2021-04-15 17:42:55","60634168","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","17","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:42:56","60634388","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:42:57","60658824","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:42:58","60658824","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:42:59","60658888","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:00","60659024","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:01","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:02","60661932","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:03","60661932","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:04","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:05","60661928","0","0","0","2","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","16","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:06","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:07","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:08","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:09","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:10","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:11","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:12","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:13","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:14","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:15","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","16","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:16","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:17","60661928","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:18","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:19","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:20","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
