Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2021-04-15 17:42:27","59751952","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","485164","447836","37328","0","0","0","0","9","108","1","33","131072","11448","233792","232094","17600","16784","389696","17920","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:42:28","59751956","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","485164","447836","37328","0","0","0","0","9","108","1","33","131072","11448","233792","232094","17600","16784","389696","17920","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:42:29","59751956","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","485164","447836","37328","0","0","0","0","9","108","1","33","131072","11448","233792","232094","17600","16784","389696","17920","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:42:30","59911724","38","0","0","0","492","1316","1","0","1","0","99","0","0","0","4482548","469488","432160","37328","0","0","0","0","9","108","2","33","131072","11091","217024","210563","17600","15256","389696","17920","0","14","1","0","32824","102","36","21446","0","2000",
"2021-04-15 17:42:31","59911780","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","469488","432160","37328","0","0","0","0","9","108","1","33","131072","11091","217024","210563","17600","15256","389696","17920","0","14","1","0","32824","102","36","21446","0","0",
"2021-04-15 17:42:32","59911780","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","469488","432160","37328","0","0","0","0","9","108","1","33","131072","11091","217024","210563","17600","15256","389696","17920","0","14","1","0","32824","102","36","21446","0","0",
"2021-04-15 17:42:33","59931692","38","0","0","0","492","1317","1","0","1","0","100","0","0","0","4482548","449388","412060","37328","0","0","0","0","9","108","2","33","131072","10733","196864","189032","17600","13729","389696","17920","0","14","1","0","32824","97","36","19446","0","2000",
"2021-04-15 17:42:34","59931692","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","449388","412060","37328","0","0","0","0","9","108","1","33","131072","10733","196864","189032","17600","13729","389696","17920","0","14","1","0","32824","97","36","19446","0","0",
"2021-04-15 17:42:35","59931692","38","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","449388","412060","37328","0","0","0","0","9","112","2","33","131072","10733","196864","189032","17600","13729","389696","17920","0","14","1","0","32824","97","36","19446","0","0",
"2021-04-15 17:42:36","59954676","37","0","0","0","492","1317","1","0","1","0","100","0","0","0","4482548","426340","389012","37328","0","0","0","0","9","109","2","33","131072","10376","173632","167500","14400","12202","389696","17920","0","14","1","0","32824","92","36","17446","0","2000",
"2021-04-15 17:42:37","59954676","37","0","0","0","492","1317","1","0","0","0","100","0","0","0","4482548","426340","389012","37328","0","0","0","0","9","108","1","33","131072","10376","173632","167500","14400","12202","389696","17920","0","14","1","0","32824","92","36","17446","0","0",
"2021-04-15 17:42:38","59954676","37","0","0","0","492","1317","2","0","0","0","100","0","0","0","4482548","426340","389012","37328","0","0","0","0","9","108","1","33","131072","10376","173632","167500","14400","12202","389696","17920","0","14","1","0","32824","92","36","17446","0","0",
"2021-04-15 17:42:39","59973008","37","0","0","0","492","1317","1","0","1","0","100","0","0","0","4482548","406240","368912","37328","0","0","0","0","9","108","2","33","131072","10018","153472","145970","14400","10674","389696","17920","0","14","1","0","32824","87","36","15446","0","2000",
"2021-04-15 17:42:40","60450120","36","0","0","0","490","1254","1","0","0","0","100","0","0","0","4482548","406240","368912","37328","0","0","0","0","9","107","2","33","131072","10018","153472","145970","14400","10674","389696","17920","0","14","1","0","32824","87","36","15446","0","0",
